CNPJ,IbovCorrelation,SELICCorrelation,flowCorrelation,avgTicketCorrelation,vol,resultKmeans,DENOM_SOCIAL
19.496.576/0001-10,0.3198949034522933,-0.5740581763434363,0.005783579866594718,-0.2587098423498572,0.1742059977191971,0,OCEANA LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
18.611.532/0001-20,-0.2114079490667364,0.024040561366665908,0.037082334978313286,-0.4129043869394067,0.1737192043882489,1,OCEANA SUSTENTABILIDADE SOCIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
18.471.807/0001-78,0.4689878756185638,-0.7169539648450443,0.11930722055044825,-0.8097495799471913,0.20984288833281184,4,OPPORTUNITY LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
17.002.861/0001-01,0.7478279785694061,-0.8315555686307131,-0.016009003750907674,-0.6029520721694768,0.19354401809077068,4,PACIFICO LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
22.354.046/0001-41,0.6590792347171402,-0.7938484287736639,0.07884782017862932,-0.5540462279444628,0.10143521495894396,4,PACIFICO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
24.140.265/0001-53,0.4435755211267444,-0.7184639923253612,0.02168326067777075,-0.5398838442576162,0.0913343192240956,4,PANDHORA ESSENCIAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
09.068.336/0001-60,0.30678785693122623,0.8853608471864575,-0.033916112197448896,-0.30795858196369263,0.08673969594281049,1,PERFIN EQUITY HEDGE FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
32.041.825/0001-40,-0.010497751597382284,-0.9131159335616329,-0.10854454449711633,-0.3300422812278576,0.039367359912845255,0,
31.326.427/0001-08,0.15915340848675744,-0.9194709006526014,-0.02100702814982532,-0.5554992412779307,0.04609260169159622,0,
27.347.332/0001-01,0.6166766611242379,-0.942291564916128,-0.05627383433721125,-0.6214901201180627,0.14162326798986294,4,
11.228.500/0001-00,0.7882226089153872,-0.8232865824190356,0.01972006489118389,-0.5596657812149319,0.11282756909059345,4,POLO MACRO FUNDO DE INVESTIMENTO MULTIMERCADO
07.013.315/0001-12,0.6475575455147057,-0.5248447673277769,-0.012788707016049264,-0.7034757602766,0.13315283218865465,4,POLO NORTE I FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
00.400.490/0001-13,0.482907956681377,-0.9000520330340803,0.10232739909067498,-0.5210169210621586,0.08579738857093683,4,PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO
22.918.359/0001-85,0.6822448058450109,-0.7813906543456428,0.27946076957582816,-0.7863291528466879,0.09246755203560167,4,QUANTITAS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO MALLORCA
